matrix dimension,Strassen,Standard
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
20,0,0
20,0,0
20,0,0
20,0,0
20,0,0
30,0,0
30,0,0
30,0,0
30,0,0
30,0,0
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
50,0,0
50,0,0
50,0,0
50,0,0
50,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
70,1,1
70,1,1
70,1,1
70,1,1
70,1,1
80,1,1
80,1,1
80,1,1
80,1,1
80,1,1
90,2,2
90,2,2
90,2,2
90,2,2
90,2,2
100,3,3
100,3,3
100,3,3
100,3,3
100,3,3
110,4,4
110,4,4
110,4,4
110,4,4
110,4,4
120,5,5
120,5,5
120,5,5
120,5,5
120,5,5
130,7,7
130,6,7
130,6,7
130,7,7
130,6,7
140,8,9
140,9,9
140,8,9
140,8,10
140,9,9
150,11,12
150,11,11
150,10,11
150,10,11
150,10,13
160,14,17
160,13,15
160,13,15
160,13,14
160,13,13
170,15,17
170,14,17
170,14,17
170,14,17
170,14,17
180,17,20
180,17,20
180,19,20
180,16,20
180,17,22
190,22,24
190,20,25
190,21,26
190,23,27
190,22,25
200,27,43
200,23,39
200,23,38
200,23,40
200,23,40
210,28,50
210,31,47
210,27,45
210,28,46
210,28,46
220,31,59
220,31,54
220,31,53
220,31,55
220,31,53
230,40,68
230,37,65
230,36,63
230,38,66
230,36,61
240,40,73
240,42,70
240,39,69
240,40,69
240,40,69
250,45,77
250,46,78
250,45,79
250,45,79
250,48,80
260,52,69
260,51,73
260,50,70
260,50,70
260,51,77
270,56,78
270,55,77
270,61,81
270,57,79
270,55,79
280,61,94
280,63,90
280,62,91
280,62,90
280,62,89
290,68,105
290,72,102
290,67,106
290,70,107
290,71,105
300,77,117
300,78,109
300,77,110
300,85,119
300,77,117
310,90,127
310,85,124
310,85,127
310,87,134
310,84,127
320,94,142
320,92,137
320,96,141
320,98,141
320,94,135
330,101,153
330,106,175
330,105,175
330,104,162
330,102,174
340,111,173
340,114,195
340,109,190
340,109,193
340,109,193
350,116,213
350,117,217
350,115,216
350,119,203
350,117,211
360,128,220
360,129,229
